x =  0.1150893 	dxcalc =  9.371603e-05 	f(x) =  -65.32473	dist =  2.06469
x =  0.115183 	dxcalc =  8.808419e-05 	f(x) =  -67.38763	dist =  2.0629
x =  0.1152711 	dxcalc =  8.292877e-05 	f(x) =  -69.44882	dist =  2.061188
x =  0.115354 	dxcalc =  7.819954e-05 	f(x) =  -71.50837	dist =  2.059552
x =  0.1154322 	dxcalc =  7.385241e-05 	f(x) =  -73.56636	dist =  2.057988
x =  0.1155061 	dxcalc =  6.984863e-05 	f(x) =  -75.62286	dist =  2.056493
x =  0.1155759 	dxcalc =  6.615404e-05 	f(x) =  -77.67792	dist =  2.055064
x =  0.1156421 	dxcalc =  6.273849e-05 	f(x) =  -79.73162	dist =  2.053697
x =  0.1157048 	dxcalc =  5.957528e-05 	f(x) =  -81.784	dist =  2.052389
x =  0.1157644 	dxcalc =  5.664075e-05 	f(x) =  -83.83514	dist =  2.051136
x =  0.115821 	dxcalc =  5.391388e-05 	f(x) =  -85.88508	dist =  2.049938
x =  0.1158749 	dxcalc =  5.137593e-05 	f(x) =  -87.93387	dist =  2.048789
x =  0.1159263 	dxcalc =  4.90102e-05 	f(x) =  -89.98155	dist =  2.047688
x =  0.1159753 	dxcalc =  4.680172e-05 	f(x) =  -92.02819	dist =  2.046631
x =  0.1160221 	dxcalc =  4.473712e-05 	f(x) =  -94.0738	dist =  2.045618
x =  0.1160669 	dxcalc =  4.280436e-05 	f(x) =  -96.11845	dist =  2.044644
x =  0.1161097 	dxcalc =  4.099263e-05 	f(x) =  -98.16216	dist =  2.043709
x =  0.119676 	dxcalc =  3.032085e-05 	f(x) =  97.59453	f'(x) =  -65961.22
x =  0.1197064 	dxcalc =  3.143137e-05 	f(x) =  95.63018	dist =  1.964346
x =  0.1197378 	dxcalc =  3.260269e-05 	f(x) =  93.66644	dist =  1.963739
x =  0.1197704 	dxcalc =  3.383924e-05 	f(x) =  91.70333	dist =  1.963113
x =  0.1198042 	dxcalc =  3.514584e-05 	f(x) =  89.74086	dist =  1.962466
x =  0.1198394 	dxcalc =  3.652775e-05 	f(x) =  87.77906	dist =  1.961797
x =  0.1198759 	dxcalc =  3.799074e-05 	f(x) =  85.81796	dist =  1.961106
x =  0.1199139 	dxcalc =  3.954111e-05 	f(x) =  83.85757	dist =  1.960392
